tc_id_monitoring,tc_id_official,tc_name,valid_time_utc,center_latitude,center_longitude,tc_intensity_category,tc_size_category,central_pressure,msw_ms,msw_kt,gustiness_ms,gustiness_kt,movement_direction,movement_speed_kmh,movement_speed_kt,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm
TC2630,,a,2026-09-14T00:00:00Z,12.1,154.8,tropical depression,,1004,15,30,23,45,W,slowly,slowly,,,,,,,,,,,,
TC2630,,a,2026-09-14T03:00:00Z,12.2,153.9,tropical depression,,1002,15,30,23,45,W,10,6,,,,,,,,,,,,
TC2630,,a,2026-09-14T06:00:00Z,12.2,152.8,tropical depression,,1002,15,30,23,45,W,15,8,,,,,,,,,,,,
TC2630,,a,2026-09-14T09:00:00Z,12.5,152.8,tropical depression,,1002,15,30,23,45,WNW,20,10,,,,,,,,,,,,
TC2630,,a,2026-09-14T12:00:00Z,13.3,153.1,tropical depression,,1004,15,30,23,45,NW,20,10,,,,,,,,,,,,
TC2630,,a,2026-09-14T15:00:00Z,13.3,152.9,tropical depression,,1004,15,30,23,45,N,15,8,,,,,,,,,,,,
TC2630,,a,2026-09-14T18:00:00Z,13.3,152.0,tropical depression,,1002,15,30,23,45,NW,15,7,,,,,,,,,,,,
TC2630,,a,2026-09-14T21:00:00Z,13.3,151.7,tropical depression,,1002,15,30,23,45,NW,15,7,,,,,,,,,,,,
TC2630,,a,2026-09-15T00:00:00Z,13.7,150.5,tropical depression,,1002,15,30,23,45,WNW,20,10,,,,,,,,,,,,
TC2630,,a,2026-09-15T03:00:00Z,14.2,150.3,tropical depression,,1002,15,30,23,45,NNW,20,10,,,,,,,,,,,,
TC2630,,a,2026-09-15T06:00:00Z,14.8,150.2,tropical depression,,1000,15,30,23,45,NNW,20,10,,,,,,,,,,,,
TC2630,,a,2026-09-15T09:00:00Z,14.9,149.4,tropical depression,,1000,15,30,23,45,NW,20,10,,,,,,,,,,,,
TC2630,,a,2026-09-15T12:00:00Z,15.5,150.0,tropical depression,,1002,15,30,23,45,NNW,15,8,,,,,,,,,,,,
TC2630,,a,2026-09-15T15:00:00Z,15.4,149.6,tropical depression,,1000,15,30,23,45,NNW,15,7,,,,,,,,,,,,
TC2630,,a,2026-09-15T18:00:00Z,15.5,148.8,tropical depression,,1000,15,30,23,45,WNW,15,8,,,,,,,,,,,,
TC2630,,a,2026-09-15T21:00:00Z,15.6,148.8,tropical depression,,1000,15,30,23,45,NW,10,6,,,,,,,,,,,,
TC2630,,a,2026-09-16T00:00:00Z,15.6,148.8,tropical depression,,1000,15,30,23,45,W,10,6,,,,,,,,,,,,
